,GEO,North American Industry Classification System (NAICS),REF_DATE,VALUE,Quarter,Year,Difference by Quarter,Median by Quarter,Median Change by Quarter,MAD by Quarter,Lower Bound,Upper Bound,ZScore,Normality
0,Canada,Total industrial,1987-01-01,81.1,1,1987,0.0,81.1,0.20000000000000284,2.299999999999997,76.5,85.69999999999999,0.0,Normal
1,Canada,Forestry and logging [113],1987-01-01,68.5,1,1987,0.0,81.8,-1.2999999999999972,4.700000000000003,72.39999999999999,91.2,-2.8297872340425507,Normal
2,Canada,Mining and oil and gas extraction [21],1987-01-01,77.9,1,1987,0.0,77.9,0.20000000000000284,4.5,68.9,86.9,0.0,Normal
3,Canada,Oil and gas extraction [211],1987-01-01,83.2,1,1987,0.0,78.5,0.0,4.700000000000003,69.1,87.9,1.0,Normal
4,Canada,Mining,1987-01-01,70.4,1,1987,0.0,73.7,0.5,5.1000000000000085,63.499999999999986,83.90000000000002,-0.6470588235294101,Normal
5,Canada,"Electric power generation, transmission and distribution [2211]",1987-01-01,85.6,1,1987,0.0,83.6,0.0,1.9000000000000057,79.79999999999998,87.4,1.0526315789473653,Normal
6,Canada,Construction [23],1987-01-01,84.4,1,1987,0.0,87.4,0.29999999999999716,3.1000000000000085,81.19999999999999,93.60000000000002,-0.9677419354838683,Normal
7,Canada,Manufacturing [31-33],1987-01-01,80.3,1,1987,0.0,80.7,0.3999999999999915,2.700000000000003,75.3,86.10000000000001,-0.1481481481481501,Normal
8,Canada,Food manufacturing [311],1987-01-01,78.4,1,1987,0.0,79.9,-0.29999999999999716,1.0999999999999943,77.70000000000002,82.1,-1.3636363636363706,Normal
9,Canada,Beverage and tobacco product manufacturing [312],1987-01-01,67.6,1,1987,0.0,74.1,0.5,2.8000000000000114,68.49999999999997,79.70000000000002,-2.321428571428562,Normal
10,Canada,Beverage manufacturing [3121],1987-01-01,72.6,1,1987,0.0,76.5,0.20000000000000284,3.200000000000003,70.1,82.9,-1.2187500000000007,Normal
11,Canada,Tobacco manufacturing [3122],1987-01-01,64.9,1,1987,0.0,67.5,0.0,4.799999999999997,57.900000000000006,77.1,-0.5416666666666659,Normal
12,Canada,Textiles,1987-01-01,87.5,1,1987,0.0,76.8,-0.5,3.700000000000003,69.39999999999999,84.2,2.8918918918918903,Unusual
13,Canada,Textile mills [313],1987-01-01,,1,1987,0.0,78.0,0.5,3.5,71.0,85.0,,Normal
14,Canada,Textile product mills [314],1987-01-01,,1,1987,0.0,74.0,0.0,4.599999999999994,64.80000000000001,83.19999999999999,,Normal
15,Canada,Clothing manufacturing [315],1987-01-01,87.3,1,1987,0.0,78.0,-0.5,4.700000000000003,68.6,87.4,1.9787234042553175,Normal
16,Canada,Leather and allied product manufacturing [316],1987-01-01,84.8,1,1987,0.0,75.6,1.9000000000000057,5.200000000000003,65.19999999999999,86.0,1.7692307692307687,Normal
17,Canada,Wood product manufacturing [321],1987-01-01,82.4,1,1987,0.0,83.1,0.0,4.099999999999994,74.9,91.29999999999998,-0.17073170731707063,Normal
18,Canada,Paper manufacturing [322],1987-01-01,93.2,1,1987,0.0,88.4,0.09999999999999432,2.0,84.4,92.4,2.3999999999999986,Unusual
19,Canada,Printing and related support activities [323],1987-01-01,75.9,1,1987,0.0,75.3,0.0,2.6000000000000085,70.09999999999998,80.50000000000001,0.23076923076923328,Normal
20,Canada,Petroleum and coal products manufacturing [324],1987-01-01,82.1,1,1987,0.0,85.8,0.0,4.900000000000006,75.99999999999999,95.60000000000001,-0.7551020408163263,Normal
21,Canada,Chemical manufacturing [325],1987-01-01,86.7,1,1987,0.0,80.1,-1.0999999999999943,3.0,74.1,86.1,2.200000000000003,Unusual
22,Canada,Plastics and rubber products manufacturing [326],1987-01-01,89.3,1,1987,0.0,80.0,0.9000000000000057,5.099999999999994,69.80000000000001,90.19999999999999,1.8235294117647074,Normal
23,Canada,Plastic product manufacturing [3261],1987-01-01,88.7,1,1987,0.0,77.7,0.7999999999999972,5.299999999999997,67.10000000000001,88.3,2.075471698113209,Unusual
24,Canada,Rubber product manufacturing [3262],1987-01-01,91.4,1,1987,0.0,83.8,-0.9000000000000057,6.400000000000006,70.99999999999999,96.60000000000001,1.1875000000000002,Normal
25,Canada,Non-metallic mineral product manufacturing [327],1987-01-01,83.4,1,1987,0.0,76.0,1.5999999999999943,5.400000000000006,65.19999999999999,86.80000000000001,1.37037037037037,Normal
26,Canada,Primary metal manufacturing [331],1987-01-01,90.0,1,1987,0.0,84.7,0.4000000000000057,6.0,72.7,96.7,0.8833333333333329,Normal
27,Canada,Fabricated metal product manufacturing [332],1987-01-01,78.0,1,1987,0.0,77.5,-0.29999999999999716,3.200000000000003,71.1,83.9,0.15624999999999986,Normal
28,Canada,Machinery manufacturing [333],1987-01-01,68.4,1,1987,0.0,77.6,0.7999999999999972,4.0,69.6,85.6,-2.299999999999997,Normal
29,Canada,Computer and electronic product manufacturing [334],1987-01-01,80.7,1,1987,0.0,81.7,0.0,3.0999999999999943,75.50000000000001,87.89999999999999,-0.3225806451612909,Normal
30,Canada,"Electrical equipment, appliance and component manufacturing [335]",1987-01-01,74.3,1,1987,0.0,78.9,0.0,3.700000000000003,71.5,86.30000000000001,-1.2432432432432445,Normal
31,Canada,Transportation equipment manufacturing [336],1987-01-01,79.9,1,1987,0.0,83.1,0.20000000000000284,4.099999999999994,74.9,91.29999999999998,-0.7804878048780471,Normal
32,Canada,Furniture and related product manufacturing [337],1987-01-01,82.5,1,1987,0.0,79.1,0.0,3.200000000000003,72.69999999999999,85.5,1.0625000000000009,Normal
33,Canada,Miscellaneous manufacturing [339],1987-01-01,70.7,1,1987,0.0,79.5,-1.0,3.700000000000003,72.1,86.9,-2.378378378378376,Normal
34,Canada,Total industrial,1987-04-01,82.3,2,1987,0.0,81.6,0.0,2.299999999999997,77.0,86.19999999999999,0.30434782608695815,Normal
35,Canada,Forestry and logging [113],1987-04-01,73.3,2,1987,0.0,83.3,0.10000000000000853,4.8999999999999915,73.50000000000001,93.09999999999998,-2.040816326530616,Normal
36,Canada,Mining and oil and gas extraction [21],1987-04-01,77.4,2,1987,0.0,77.4,0.10000000000000853,4.3999999999999915,68.60000000000002,86.19999999999999,0.0,Normal
37,Canada,Oil and gas extraction [211],1987-04-01,82.4,2,1987,0.0,78.6,0.29999999999999716,4.3999999999999915,69.80000000000001,87.39999999999998,0.8636363636363679,Normal
38,Canada,Mining,1987-04-01,70.3,2,1987,0.0,73.6,0.4000000000000057,4.599999999999994,64.4,82.79999999999998,-0.7173913043478264,Normal
39,Canada,"Electric power generation, transmission and distribution [2211]",1987-04-01,86.1,2,1987,0.0,82.8,0.0,1.5,79.8,85.8,2.199999999999998,Unusual
40,Canada,Construction [23],1987-04-01,88.0,2,1987,0.0,86.8,0.0,2.5,81.8,91.8,0.48000000000000115,Normal
41,Canada,Manufacturing [31-33],1987-04-01,80.9,2,1987,0.0,81.1,0.20000000000000284,2.4000000000000057,76.29999999999998,85.9,-0.0833333333333284,Normal
42,Canada,Food manufacturing [311],1987-04-01,78.8,2,1987,0.0,79.5,0.0,1.2000000000000028,77.1,81.9,-0.5833333333333344,Normal
43,Canada,Beverage and tobacco product manufacturing [312],1987-04-01,70.9,2,1987,0.0,73.9,-0.10000000000000853,2.3000000000000114,69.29999999999998,78.50000000000003,-1.30434782608695,Normal
44,Canada,Beverage manufacturing [3121],1987-04-01,71.9,2,1987,0.0,77.3,-0.4000000000000057,3.200000000000003,70.89999999999999,83.7,-1.6874999999999958,Normal
45,Canada,Tobacco manufacturing [3122],1987-04-01,70.3,2,1987,0.0,67.8,-0.10000000000000142,4.5,58.8,76.8,0.5555555555555556,Normal
46,Canada,Textiles,1987-04-01,87.3,2,1987,0.0,76.6,-0.10000000000000853,3.200000000000003,70.19999999999999,83.0,3.343749999999998,Very Unusual
47,Canada,Textile mills [313],1987-04-01,,2,1987,0.0,78.0,0.0,4.0,70.0,86.0,,Normal
48,Canada,Textile product mills [314],1987-04-01,,2,1987,0.0,74.8,-1.0,5.5,63.8,85.8,,Normal
49,Canada,Clothing manufacturing [315],1987-04-01,89.2,2,1987,0.0,79.5,-0.4000000000000057,4.200000000000003,71.1,87.9,2.3095238095238084,Unusual
50,Canada,Leather and allied product manufacturing [316],1987-04-01,78.6,2,1987,0.0,76.0,0.20000000000000284,5.599999999999994,64.80000000000001,87.19999999999999,0.46428571428571375,Normal
51,Canada,Wood product manufacturing [321],1987-04-01,82.0,2,1987,0.0,82.5,-1.0,4.400000000000006,73.69999999999999,91.30000000000001,-0.1136363636363635,Normal
52,Canada,Paper manufacturing [322],1987-04-01,94.2,2,1987,0.0,88.1,-0.6999999999999886,2.0999999999999943,83.9,92.29999999999998,2.9047619047619166,Unusual
53,Canada,Printing and related support activities [323],1987-04-01,75.9,2,1987,0.0,75.4,0.09999999999999432,2.1999999999999886,71.00000000000003,79.79999999999998,0.22727272727272846,Normal
54,Canada,Petroleum and coal products manufacturing [324],1987-04-01,84.5,2,1987,0.0,86.7,0.4000000000000057,4.599999999999994,77.50000000000001,95.89999999999999,-0.4782608695652186,Normal
55,Canada,Chemical manufacturing [325],1987-04-01,88.1,2,1987,0.0,80.0,0.20000000000000284,3.200000000000003,73.6,86.4,2.531249999999996,Unusual
56,Canada,Plastics and rubber products manufacturing [326],1987-04-01,89.4,2,1987,0.0,80.5,0.5,4.200000000000003,72.1,88.9,2.119047619047619,Unusual
57,Canada,Plastic product manufacturing [3261],1987-04-01,90.2,2,1987,0.0,78.3,0.0,4.799999999999997,68.7,87.89999999999999,2.479166666666669,Unusual
58,Canada,Rubber product manufacturing [3262],1987-04-01,86.8,2,1987,0.0,84.6,0.0,4.6000000000000085,75.39999999999998,93.80000000000001,0.47826086956521713,Normal
59,Canada,Non-metallic mineral product manufacturing [327],1987-04-01,84.2,2,1987,0.0,75.6,0.09999999999999432,4.299999999999997,67.0,84.19999999999999,2.000000000000003,Unusual
60,Canada,Primary metal manufacturing [331],1987-04-01,90.6,2,1987,0.0,87.0,0.0,5.299999999999997,76.4,97.6,0.6792452830188672,Normal
61,Canada,Fabricated metal product manufacturing [332],1987-04-01,78.1,2,1987,0.0,77.9,0.3999999999999915,2.5999999999999943,72.70000000000002,83.1,0.07692307692307272,Normal
62,Canada,Machinery manufacturing [333],1987-04-01,68.7,2,1987,0.0,78.6,0.20000000000000284,2.8000000000000114,72.99999999999997,84.20000000000002,-3.5357142857142683,Normal
63,Canada,Computer and electronic product manufacturing [334],1987-04-01,81.4,2,1987,0.0,80.4,0.0,5.8999999999999915,68.60000000000002,92.19999999999999,0.16949152542372906,Normal
64,Canada,"Electrical equipment, appliance and component manufacturing [335]",1987-04-01,76.6,2,1987,0.0,78.0,0.0,3.0,72.0,84.0,-0.46666666666666856,Normal
65,Canada,Transportation equipment manufacturing [336],1987-04-01,77.4,2,1987,0.0,84.3,0.5999999999999943,4.299999999999997,75.7,92.89999999999999,-1.6046511627906968,Normal
66,Canada,Furniture and related product manufacturing [337],1987-04-01,81.4,2,1987,0.0,78.9,0.0,2.9000000000000057,73.1,84.70000000000002,0.8620689655172397,Normal
67,Canada,Miscellaneous manufacturing [339],1987-04-01,74.8,2,1987,0.0,79.5,0.0,2.9000000000000057,73.69999999999999,85.30000000000001,-1.6206896551724117,Normal
68,Canada,Total industrial,1987-07-01,84.8,3,1987,0.0,81.6,0.0,2.1000000000000014,77.39999999999999,85.8,1.5238095238095242,Normal
69,Canada,Forestry and logging [113],1987-07-01,91.6,3,1987,0.0,82.9,0.29999999999999716,5.5,71.9,93.9,1.5818181818181798,Normal
70,Canada,Mining and oil and gas extraction [21],1987-07-01,81.0,3,1987,0.0,78.4,0.19999999999999574,3.9499999999999957,70.50000000000001,86.3,0.6582278481012651,Normal
71,Canada,Oil and gas extraction [211],1987-07-01,83.8,3,1987,0.0,78.0,-0.25,4.650000000000006,68.69999999999999,87.30000000000001,1.247311827956987,Normal
