,Business characteristics,REF_DATE,VALUE,Quarter,Median by Quarter,Lower Bound,Upper Bound,ZScore,Median by Quarter,MAD by Quarter,Normality
0,Construction [23],1987-01-01,84.4,1,87.4,81.19999999999999,93.60000000000002,-0.9677419354838684,87.4,3.1000000000000085,Normal
1,Construction [23],1987-04-01,88.0,2,86.8,81.8,91.8,0.4800000000000011,86.8,2.5,Normal
2,Construction [23],1987-07-01,90.4,3,87.4,82.6,92.20000000000002,1.2499999999999971,87.4,2.4000000000000057,Normal
3,Construction [23],1987-10-01,91.0,4,87.75,81.55,93.95,1.048387096774193,87.75,3.1000000000000014,Normal
4,Construction [23],1988-01-01,89.9,1,87.4,81.19999999999999,93.60000000000002,0.8064516129032235,87.4,3.1000000000000085,Normal
5,Construction [23],1988-04-01,91.6,2,86.8,81.8,91.8,1.9199999999999988,86.8,2.5,Normal
6,Construction [23],1988-07-01,92.8,3,87.4,82.6,92.20000000000002,2.249999999999991,87.4,2.4000000000000057,Unusual
7,Construction [23],1988-10-01,93.8,4,87.75,81.55,93.95,1.9516129032258047,87.75,3.1000000000000014,Normal
8,Construction [23],1989-01-01,95.7,1,87.4,81.19999999999999,93.60000000000002,2.6774193548387015,87.4,3.1000000000000085,Unusual
9,Construction [23],1989-04-01,94.3,2,86.8,81.8,91.8,3.0,86.8,2.5,Unusual
10,Construction [23],1989-07-01,95.8,3,87.4,82.6,92.20000000000002,3.499999999999988,87.4,2.4000000000000057,Very Unusual
11,Construction [23],1989-10-01,98.1,4,87.75,81.55,93.95,3.338709677419351,87.75,3.1000000000000014,Very Unusual
12,Construction [23],1990-01-01,98.3,1,87.4,81.19999999999999,93.60000000000002,3.516129032258052,87.4,3.1000000000000085,Very Unusual
13,Construction [23],1990-04-01,98.1,2,86.8,81.8,91.8,4.519999999999999,86.8,2.5,Very Unusual
14,Construction [23],1990-07-01,95.8,3,87.4,82.6,92.20000000000002,3.499999999999988,87.4,2.4000000000000057,Very Unusual
15,Construction [23],1990-10-01,91.6,4,87.75,81.55,93.95,1.2419354838709653,87.75,3.1000000000000014,Normal
16,Construction [23],1991-01-01,88.9,1,87.4,81.19999999999999,93.60000000000002,0.4838709677419341,87.4,3.1000000000000085,Normal
17,Construction [23],1991-04-01,88.6,2,86.8,81.8,91.8,0.7199999999999989,86.8,2.5,Normal
18,Construction [23],1991-07-01,89.0,3,87.4,82.6,92.20000000000002,0.6666666666666627,87.4,2.4000000000000057,Normal
19,Construction [23],1991-10-01,90.9,4,87.75,81.55,93.95,1.0161290322580658,87.75,3.1000000000000014,Normal
20,Construction [23],1992-01-01,86.7,1,87.4,81.19999999999999,93.60000000000002,-0.2258064516129035,87.4,3.1000000000000085,Normal
21,Construction [23],1992-04-01,84.5,2,86.8,81.8,91.8,-0.9199999999999988,86.8,2.5,Normal
22,Construction [23],1992-07-01,84.6,3,87.4,82.6,92.20000000000002,-1.1666666666666687,87.4,2.4000000000000057,Normal
23,Construction [23],1992-10-01,82.1,4,87.75,81.55,93.95,-1.8225806451612911,87.75,3.1000000000000014,Normal
24,Construction [23],1993-01-01,81.8,1,87.4,81.19999999999999,93.60000000000002,-1.8064516129032235,87.4,3.1000000000000085,Normal
25,Construction [23],1993-04-01,81.7,2,86.8,81.8,91.8,-2.039999999999998,86.8,2.5,Normal
26,Construction [23],1993-07-01,81.8,3,87.4,82.6,92.20000000000002,-2.3333333333333313,87.4,2.4000000000000057,Normal
27,Construction [23],1993-10-01,82.4,4,87.75,81.55,93.95,-1.7258064516129006,87.75,3.1000000000000014,Normal
28,Construction [23],1994-01-01,82.9,1,87.4,81.19999999999999,93.60000000000002,-1.4516129032258025,87.4,3.1000000000000085,Normal
29,Construction [23],1994-04-01,84.3,2,86.8,81.8,91.8,-1.0,86.8,2.5,Normal
30,Construction [23],1994-07-01,85.4,3,87.4,82.6,92.20000000000002,-0.8333333333333314,87.4,2.4000000000000057,Normal
31,Construction [23],1994-10-01,85.0,4,87.75,81.55,93.95,-0.8870967741935479,87.75,3.1000000000000014,Normal
32,Construction [23],1995-01-01,83.2,1,87.4,81.19999999999999,93.60000000000002,-1.3548387096774166,87.4,3.1000000000000085,Normal
33,Construction [23],1995-04-01,80.0,2,86.8,81.8,91.8,-2.719999999999999,86.8,2.5,Normal
34,Construction [23],1995-07-01,79.3,3,87.4,82.6,92.20000000000002,-3.3749999999999956,87.4,2.4000000000000057,Normal
35,Construction [23],1995-10-01,80.0,4,87.75,81.55,93.95,-2.4999999999999987,87.75,3.1000000000000014,Normal
36,Construction [23],1996-01-01,80.2,1,87.4,81.19999999999999,93.60000000000002,-2.3225806451612847,87.4,3.1000000000000085,Normal
37,Construction [23],1996-04-01,82.4,2,86.8,81.8,91.8,-1.759999999999997,86.8,2.5,Normal
38,Construction [23],1996-07-01,84.7,3,87.4,82.6,92.20000000000002,-1.1249999999999984,87.4,2.4000000000000057,Normal
39,Construction [23],1996-10-01,84.7,4,87.75,81.55,93.95,-0.9838709677419342,87.75,3.1000000000000014,Normal
40,Construction [23],1997-01-01,83.7,1,87.4,81.19999999999999,93.60000000000002,-1.1935483870967718,87.4,3.1000000000000085,Normal
41,Construction [23],1997-04-01,85.8,2,86.8,81.8,91.8,-0.4,86.8,2.5,Normal
42,Construction [23],1997-07-01,87.8,3,87.4,82.6,92.20000000000002,0.1666666666666627,87.4,2.4000000000000057,Normal
43,Construction [23],1997-10-01,87.7,4,87.75,81.55,93.95,-0.0161290322580635,87.75,3.1000000000000014,Normal
44,Construction [23],1998-01-01,87.4,1,87.4,81.19999999999999,93.60000000000002,0.0,87.4,3.1000000000000085,Normal
45,Construction [23],1998-04-01,86.6,2,86.8,81.8,91.8,-0.0800000000000011,86.8,2.5,Normal
46,Construction [23],1998-07-01,85.3,3,87.4,82.6,92.20000000000002,-0.8750000000000014,87.4,2.4000000000000057,Normal
47,Construction [23],1998-10-01,84.3,4,87.75,81.55,93.95,-1.112903225806452,87.75,3.1000000000000014,Normal
48,Construction [23],1999-01-01,85.1,1,87.4,81.19999999999999,93.60000000000002,-0.7419354838709694,87.4,3.1000000000000085,Normal
49,Construction [23],1999-04-01,85.6,2,86.8,81.8,91.8,-0.4800000000000011,86.8,2.5,Normal
50,Construction [23],1999-07-01,86.0,3,87.4,82.6,92.20000000000002,-0.5833333333333344,87.4,2.4000000000000057,Normal
51,Construction [23],1999-10-01,87.8,4,87.75,81.55,93.95,0.0161290322580635,87.75,3.1000000000000014,Normal
52,Construction [23],2000-01-01,87.7,1,87.4,81.19999999999999,93.60000000000002,0.0967741935483859,87.4,3.1000000000000085,Normal
53,Construction [23],2000-04-01,85.9,2,86.8,81.8,91.8,-0.3599999999999966,86.8,2.5,Normal
54,Construction [23],2000-07-01,85.4,3,87.4,82.6,92.20000000000002,-0.8333333333333314,87.4,2.4000000000000057,Normal
55,Construction [23],2000-10-01,85.5,4,87.75,81.55,93.95,-0.7258064516129029,87.75,3.1000000000000014,Normal
56,Construction [23],2001-01-01,87.4,1,87.4,81.19999999999999,93.60000000000002,0.0,87.4,3.1000000000000085,Normal
57,Construction [23],2001-04-01,87.4,2,86.8,81.8,91.8,0.2400000000000034,86.8,2.5,Normal
